191.320, 129.750, 0.000,  0.000 False
191.320, 129.750, 0.002,  0.023 False
191.320, 129.750, 0.002,  0.056 False
191.320, 129.750, 0.002,  0.089 False
191.320, 129.750, 0.002,  0.122 False
191.319, 129.750, 0.032,  0.155 False
191.320, 129.750, -0.025,  0.188 False
191.321, 129.750, -0.018,  0.221 False
191.322, 129.750, -0.009,  0.254 False
191.322, 129.750, 0.004,  0.287 False
191.321, 129.750, 0.058,  0.320 False
191.318, 129.750, 0.112,  0.353 False
191.311, 129.750, 0.226,  0.386 False
191.300, 129.750, 0.325,  0.419 False
191.287, 129.750, 0.402,  0.452 False
191.271, 129.750, 0.506,  0.485 False
191.250, 129.750, 0.622,  0.518 False
191.226, 129.750, 0.746,  0.551 False
191.198, 129.751, 0.842,  0.584 False
191.166, 129.751, 0.981,  0.617 False
191.128, 129.751, 1.183,  0.650 False
191.083, 129.751, 1.374,  0.683 False
191.032, 129.752, 1.529,  0.716 False
190.977, 129.752, 1.657,  0.749 False
190.919, 129.753, 1.762,  0.782 False
190.858, 129.753, 1.850,  0.815 False
190.794, 129.754, 1.923,  0.848 False
190.729, 129.754, 1.986,  0.881 False
190.662, 129.755, 2.040,  0.914 False
190.593, 129.756, 2.087,  0.947 False
190.523, 129.756, 2.129,  0.980 False
190.451, 129.757, 2.167,  1.013 False
190.379, 129.758, 2.202,  1.046 False
190.305, 129.759, 2.236,  1.079 False
190.230, 129.759, 2.268,  1.112 False
190.154, 129.760, 2.299,  1.145 False
190.077, 129.761, 2.331,  1.178 False
189.999, 129.762, 2.362,  1.211 False
189.920, 129.763, 2.394,  1.244 False
189.839, 129.764, 2.427,  1.277 False
189.758, 129.765, 2.460,  1.310 False
189.675, 129.766, 2.494,  1.343 False
189.591, 129.767, 2.528,  1.376 False
189.506, 129.768, 2.563,  1.409 False
189.420, 129.770, 2.599,  1.442 False
189.333, 129.771, 2.635,  1.475 False
189.244, 129.772, 2.674,  1.508 False
189.154, 129.773, 2.716,  1.541 False
189.062, 129.774, 2.761,  1.574 False
188.969, 129.775, 2.809,  1.607 False
188.874, 129.776, 2.858,  1.640 False
188.777, 129.777, 2.908,  1.673 False
188.679, 129.778, 2.959,  1.706 False
188.579, 129.779, 3.011,  1.739 False
188.477, 129.780, 3.063,  1.772 False
188.374, 129.781, 3.116,  1.805 False
188.269, 129.782, 3.168,  1.838 False
188.162, 129.783, 3.221,  1.871 False
188.053, 129.784, 3.273,  1.904 False
187.942, 129.786, 3.325,  1.937 False
187.830, 129.787, 3.376,  1.970 False
187.716, 129.788, 3.427,  2.003 False
187.601, 129.789, 3.478,  2.036 False
187.484, 129.791, 3.528,  2.069 False
187.365, 129.792, 3.578,  2.102 False
187.244, 129.793, 3.627,  2.135 False
187.122, 129.795, 3.676,  2.168 False
186.998, 129.796, 3.724,  2.201 False
186.873, 129.797, 3.772,  2.234 False
186.746, 129.799, 3.819,  2.267 False
186.618, 129.800, 3.866,  2.300 False
186.488, 129.802, 3.912,  2.333 False
186.356, 129.803, 3.957,  2.366 False
186.223, 129.805, 4.002,  2.399 False
186.089, 129.806, 4.046,  2.432 False
185.953, 129.808, 4.090,  2.465 False
185.815, 129.809, 4.134,  2.498 False
185.677, 129.811, 4.177,  2.531 False
185.536, 129.813, 4.220,  2.564 False
185.395, 129.814, 4.262,  2.597 False
185.252, 129.816, 4.305,  2.630 False
185.107, 129.818, 4.347,  2.663 False
184.961, 129.819, 4.388,  2.696 False
184.814, 129.821, 4.430,  2.729 False
184.665, 129.823, 4.472,  2.762 False
184.515, 129.825, 4.513,  2.795 False
184.364, 129.827, 4.554,  2.828 False
184.211, 129.828, 4.596,  2.861 False
184.057, 129.830, 4.637,  2.894 False
183.901, 129.832, 4.678,  2.927 False
183.744, 129.834, 4.719,  2.960 False
183.586, 129.836, 4.760,  2.993 False
183.426, 129.838, 4.801,  3.026 False
